time,GPS1,GPS2,sum_ABC
9:57:29,49.7449,13.3692,425
9:57:30,49.7449,13.3692,405
9:57:31,49.7449,13.3692,418
9:58:17,49.7446,13.3692,415
9:58:18,49.7446,13.3692,406
9:58:26,49.7444,13.3692,390
9:58:27,49.7444,13.3692,404
9:58:28,49.7444,13.3692,406
9:58:30,49.7443,13.3691,549
9:58:31,49.7443,13.3691,549
9:58:34,49.7442,13.3691,498
9:58:35,49.7442,13.3691,413
9:58:36,49.7442,13.3691,409
9:58:37,49.7442,13.3691,392
9:58:38,49.7441,13.3692,405
9:58:39,49.7441,13.3692,397
9:58:41,49.7439,13.3691,447
9:58:42,49.744,13.3692,435
9:58:43,49.744,13.3692,437
9:58:44,49.744,13.3692,437
9:58:46,49.7439,13.3691,429
9:58:47,49.7438,13.3691,429
9:58:48,49.7438,13.3691,412
9:58:49,49.7438,13.3691,396
9:58:53,49.7437,13.3691,538
9:58:54,49.7436,13.3691,541
9:58:55,49.7436,13.3691,542
9:58:56,49.7436,13.3691,546
9:58:57,49.7435,13.3691,546
9:58:58,49.7435,13.3691,414
9:58:59,49.7435,13.3691,390
9:59:00,49.744,13.3691,400
9:59:01,49.7433,13.3691,400
9:59:02,49.7433,13.3691,399
9:59:03,49.7433,13.3691,366
9:59:07,49.7431,13.369,413
9:59:08,49.7431,13.369,413
9:59:09,49.743,13.369,408
9:59:11,49.7429,13.369,391
9:59:12,49.7429,13.369,512
9:59:13,49.7428,13.369,432
9:59:14,49.7428,13.369,417
9:59:15,49.7426,13.369,512
9:59:16,49.7426,13.369,513
9:59:17,49.7425,13.369,418
9:59:18,49.7425,13.369,450
9:59:19,49.7424,13.369,587
9:59:20,49.7423,13.369,595
9:59:29,49.7421,13.3689,413
9:59:30,49.7421,13.3689,474
9:59:31,49.7421,13.3689,429
9:59:32,49.742,13.3689,427
9:59:33,49.742,13.3689,386
9:59:34,49.7419,13.3689,403
9:59:35,49.7419,13.3689,415
9:59:36,49.7419,13.3689,424
9:59:37,49.7418,13.3689,584
9:59:38,49.7418,13.3689,422
9:59:39,49.7418,13.3689,405
9:59:40,49.7417,13.3689,397
9:59:41,49.7417,13.3689,376
